__id,user_id,item_id,amount,__time
0,0,111,503.66266,357.4747348621763
1,0,48,5.771642,482.03995884576176
2,0,105,370.3958,681.6198526944681
3,0,116,146.40685,67.43190043973301
4,0,55,603.69025,605.7512105529928
5,0,63,563.6366,409.34295572410593
6,1,21,209.52744,532.358024870042
7,1,101,242.92798,426.9030830299434
8,1,86,409.19113,353.6856312896246
9,1,7,273.52625,509.84347786519834
10,1,113,25.339706,495.3109610989483
11,1,31,81.3268,218.99119487342156
12,1,25,460.01242,266.40679416841874
13,2,3,255.28949,674.0041357289059
14,2,34,259.87253,598.5412474657477
15,2,118,278.08383,593.791423208643
16,2,56,297.8111,629.6326410597508
17,4,10,245.91226,24.697645921741174
18,4,52,339.33548,324.30598743868353
19,4,41,285.88626,181.91157329754958
20,4,86,297.43597,628.2589170606017
21,4,80,118.36313,278.1722169707288
22,4,30,335.43567,498.9906618324964
23,4,40,358.14722,171.32739235501782
24,4,39,25.597225,476.6132121268574
25,4,38,518.94,145.4410788379843
26,5,59,179.64383,76.68269516758741
27,7,100,124.78709,95.1755570007482
28,7,81,261.3426,635.0968670806607
29,7,5,61.636242,54.744817533479704
30,7,95,251.89453,369.3628433846867
31,7,21,380.21082,586.7355650744975
32,7,75,39.762165,437.8402385828393
33,7,98,322.62103,252.1619156793049
34,7,19,242.77336,189.22403743189076
35,8,42,664.8057,158.12030217306082
36,8,49,287.80835,653.8642308725584
37,8,16,468.88995,281.05078467279276
38,9,18,558.48236,576.3856992307284
39,9,51,190.8544,555.8483973728141
40,9,26,62.50405,145.01100434067337
41,11,105,278.5739,455.0481438017564
42,11,77,106.337494,681.7713205795868
43,11,37,58.752117,193.18181952330727
44,11,32,143.03307,83.3076861801747
45,12,95,291.9946,667.3317269691686
46,12,3,460.15744,457.41432937163864
47,12,72,260.62592,534.2692136636011
48,12,36,284.09937,262.76142805529076
49,12,76,258.1098,416.49210999764995
50,12,25,291.56735,235.22856310094588
51,12,73,37.82799,653.9604031207799
52,12,119,76.49732,411.39508373681656
53,13,31,45.939507,185.04190683365462
54,13,51,110.1687,13.875119592349883
55,13,69,291.29395,365.3887345506144
56,14,77,57.43391,429.3045996214024
57,16,65,171.92587,216.54042134519247
58,16,44,122.51847,304.8864874538455
59,16,69,272.6279,491.17040320768
60,16,76,437.90216,637.8413346556487
61,17,43,158.78091,683.8107424510654
62,17,65,84.176735,130.67564103631747
63,18,3,418.04657,452.77630299329786
64,18,54,179.12605,344.4341888257163
65,18,16,523.7978,243.62003832929457
66,18,99,85.07437,690.4938487744768
67,18,6,223.93896,380.26049649640845
68,19,114,108.931404,515.5941666654546
69,20,111,733.0302,641.0445430722098
70,21,105,260.80975,614.4634340942714
71,21,28,331.17288,569.5692232983843
72,21,33,18.480713,676.8671696729953
73,23,81,458.81903,584.2600772265929
74,23,113,57.524525,396.4187654761455
75,23,9,58.6981,19.549725542581164
76,23,73,82.17475,180.5949205794617
77,23,32,124.630394,25.780617321903065
78,24,92,369.18442,268.3105869287157
79,24,66,350.06393,286.62246467508345
80,24,11,245.18571,630.5420177673517
81,24,75,43.934826,465.65074743060933
82,24,62,250.76991,613.3457677545449
83,24,3,500.87576,651.254506609875
84,24,48,6.343485,461.587063425954
85,24,101,168.22336,339.2592257807159
86,25,112,155.78662,238.61997789402213
87,25,32,125.9811,269.2636517592846
88,25,63,468.19617,355.13785076494565
89,25,116,248.01291,5.762857976209235
90,25,58,353.8013,184.0712928110002
91,26,0,122.52521,636.2592735095991
92,27,93,171.25766,678.8215259321937
93,27,92,371.89368,401.67198053257766
94,27,63,452.5111,313.9310249832381
95,27,78,265.50095,471.30461061010755
96,27,7,216.14587,472.31213094571854
97,27,10,465.98538,312.3940983954385
98,27,36,255.9749,295.41498663689134
99,27,31,60.04489,627.8906471795766
100,27,71,6.1378083,608.1438283430043
101,27,28,425.4747,470.37834033188284
102,27,0,69.97262,651.8355088729704
103,27,116,152.99983,40.57921015105714
104,27,114,101.7896,681.7889095541029
105,27,76,343.31067,345.0168288224038
106,27,27,327.03726,664.1988862975161
107,28,55,459.21463,552.4257690288339
108,28,96,313.89783,312.98054842974096
109,28,31,57.556614,42.05009944991578
110,28,82,557.33154,35.19505220337638
111,28,40,398.1703,361.7191222669456
112,28,76,380.36298,681.2471259558716
113,28,93,234.81537,475.99829681395244
114,28,34,245.80219,102.85884086567765
115,28,20,147.15393,443.72924566143234
116,28,46,150.42442,423.4146138205943
117,28,97,176.8147,495.6667209988104
118,28,66,358.98093,362.4862443452761
119,30,52,255.81143,421.5742231713031
120,30,92,363.32263,379.5922455813827
121,30,96,557.9266,281.3683631557133
122,30,118,460.41043,414.9259361615325
123,30,82,545.1674,215.35128895064682
124,30,8,209.50061,615.4711411792322
125,31,68,343.32956,353.57861646941745
126,32,82,594.20624,446.9671232756056
127,32,86,219.82602,204.83582846341375
128,32,33,21.788868,186.61057060134323
129,32,119,123.06737,174.6744440192436
130,33,82,373.37112,18.265892556142305
131,33,74,61.204,434.38929303382736
132,33,76,361.5238,640.8287187507235
133,33,58,178.66675,134.10423723446607
134,33,58,227.09624,437.00817903961206
135,34,23,15.2262535,31.649521266006396
136,34,28,301.9989,474.4354486738123
137,34,4,385.04544,526.6011176205616
138,34,46,221.76137,596.160025030144
139,34,46,150.8135,117.92300206589812
140,34,57,394.27017,23.791522514296837
141,34,77,95.53856,382.95825030256725
142,34,84,100.9203,191.32199474963184
143,34,85,31.559935,146.45808050454855
144,35,57,180.00606,7.35310725164795
145,36,53,322.91776,112.87127755281956
